millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,uva,uvb,uvIndex
10242223,1,40.39,30.80,-46.72,28.80,102.49,1571.90,527.41,1.83
10303253,1,41.48,32.00,-47.95,27.00,102.49,1607.32,604.26,1.96
10364283,1,44.25,32.70,-44.35,31.10,102.49,1622.49,602.39,1.97
10425313,1,44.71,33.60,-48.54,28.20,102.49,1660.20,634.03,2.03
10486345,1,45.04,33.90,-49.33,28.00,102.49,1659.28,633.28,2.03
10547375,1,44.05,34.10,-49.62,24.70,102.49,1671.04,667.97,2.09
10608406,1,44.91,34.00,-45.16,27.30,102.48,1710.37,649.65,2.09
10669436,1,44.54,34.00,-51.33,24.60,102.48,1714.17,647.52,2.09
10730466,1,44.73,33.80,-50.73,25.20,102.48,1750.82,678.79,2.16
10791497,1,45.77,33.90,-48.72,31.80,102.48,1736.85,674.25,2.14
10852527,1,46.04,34.20,-49.97,25.30,102.48,1735.31,696.57,2.17
10913557,1,46.64,34.70,-45.66,29.50,102.48,1723.96,682.47,2.14
10974590,1,46.36,34.80,-44.72,27.30,102.48,1749.51,713.36,2.20
11035620,1,46.13,35.20,-41.81,25.40,102.48,1748.91,730.25,2.22
11096649,1,46.64,35.60,-36.46,26.00,102.48,1769.96,747.78,2.26
11157680,1,47.57,36.20,-31.17,27.70,102.48,1770.04,745.03,2.26
11218710,1,45.86,36.20,-22.12,22.20,102.48,1822.69,766.36,2.32
11279740,1,44.70,35.30,-0.44,25.90,102.48,1893.08,788.21,2.40
11340770,1,45.55,35.60,1.11,22.90,102.49,1281.78,855.81,2.05
11401800,1,44.91,35.10,16.59,27.10,102.46,1409.11,885.18,2.18
11462833,1,40.93,33.90,15.09,26.70,102.46,1225.16,818.45,1.96
11523863,1,39.09,32.50,18.47,26.30,102.46,1206.44,808.77,1.93
11584893,1,37.09,31.10,20.05,28.20,102.46,1186.53,785.31,1.88
11645923,1,35.77,30.10,21.58,29.40,102.46,1250.72,785.60,1.93
11706954,1,35.21,29.40,16.93,29.60,102.46,1889.34,818.65,2.44
11767984,1,36.39,29.50,-43.67,28.30,102.48,1944.91,873.84,2.55
11829014,1,40.34,30.50,-44.83,32.00,102.48,1931.28,890.30,2.56
11890044,1,43.41,32.30,-45.38,30.00,102.47,1908.47,884.94,2.54
11951076,1,42.54,33.00,-46.28,25.20,102.47,1875.19,837.76,2.46
12012106,1,41.80,31.90,-47.68,28.40,102.47,1891.22,843.79,2.47
12073137,1,42.57,31.80,-46.60,28.20,102.47,1507.28,838.58,2.19
12134167,1,40.82,32.00,-7.26,27.50,102.46,1380.25,862.79,2.13
12195197,1,38.45,31.10,9.42,25.50,102.46,1414.53,882.34,2.18
12256226,1,36.64,30.40,9.96,28.10,102.45,1418.48,872.38,2.17
12317256,1,34.30,29.10,8.86,27.40,102.46,1696.55,867.50,2.36
12378286,1,34.79,28.90,-18.12,30.70,102.47,1244.86,805.59,1.95
12439319,1,32.14,27.90,16.98,29.30,102.45,1201.40,792.84,1.90
12500349,1,31.00,27.00,20.46,29.70,102.45,1190.74,781.36,1.88
12561379,1,31.11,26.20,22.98,34.40,102.45,1199.63,781.77,1.89
12622409,1,31.29,25.90,21.89,34.30,102.45,1231.91,777.69,1.91
12683440,1,31.16,25.70,20.81,34.70,102.45,1372.86,824.19,2.07
12744470,1,31.55,25.80,16.51,36.90,102.45,1657.33,778.11,2.22
12805500,1,34.66,26.80,-11.75,37.40,102.46,2031.43,800.23,2.52
12866530,1,38.32,28.50,-36.97,37.20,102.46,2006.97,763.99,2.46
12927560,1,40.20,29.60,-39.57,36.90,102.46,1440.87,845.68,2.15
12988593,1,41.70,30.70,6.31,37.10,102.45,1238.27,797.80,1.94
13049623,1,38.16,29.60,13.41,27.60,102.44,1260.24,788.86,1.94
13110653,1,36.23,29.00,16.63,32.50,102.45,2124.07,709.93,2.47
13171683,1,36.39,28.90,-38.28,29.20,102.45,1635.60,769.54,2.19
13232714,1,39.23,29.90,-8.76,30.90,102.44,1199.22,749.78,1.85
13293744,1,37.02,29.10,12.79,29.10,102.45,1160.47,725.93,1.79
13354775,1,35.34,28.20,16.34,33.10,102.44,1144.50,729.33,1.78
13415805,1,33.48,27.70,17.57,31.70,102.44,1116.86,713.47,1.74
13476837,1,32.32,27.30,20.63,35.40,102.45,1092.50,694.13,1.70
13537868,1,31.80,26.70,20.93,31.70,102.44,1094.00,686.23,1.69
13598898,1,31.59,26.30,22.57,37.60,102.44,1149.49,717.75,1.77
13659928,1,31.87,25.80,22.45,37.90,102.45,1172.00,744.06,1.82
13720957,1,31.79,25.60,22.89,38.00,102.44,1199.13,762.67,1.86
13781988,1,31.77,25.50,22.12,37.70,102.45,1161.98,755.67,1.83
13843018,1,31.79,25.40,24.81,40.10,102.44,1161.94,758.29,1.83
13904048,1,31.29,25.30,22.91,35.50,102.45,1155.71,754.93,1.82
13965081,1,31.23,25.10,23.83,36.60,102.45,1165.79,751.32,1.82
14026112,1,31.11,24.90,23.98,36.20,102.45,1165.02,753.68,1.83
14087142,1,30.21,24.40,22.63,37.10,102.45,1210.25,779.24,1.89
14148172,1,30.39,24.30,23.77,39.00,102.45,1238.94,807.32,1.95
14209202,1,29.71,24.20,24.19,40.70,102.45,1240.22,822.27,1.97
14270233,1,29.57,23.90,26.05,40.40,102.45,1210.26,813.88,1.94
14331263,1,29.52,23.90,27.74,40.00,102.45,1190.52,814.44,1.92
14392293,1,28.75,23.70,27.97,37.90,102.45,1219.72,822.03,1.96
14453326,1,28.71,23.60,28.02,39.30,102.45,2126.68,736.27,2.48
